symbol,name,type
WFLOX,Wells Fargo Advantage DJ Target Tod Adm,mf
NIVCX,ING International Value C,mf
OAKBX,Oakmark Equity & Income I,mf
VEURX,Vanguard European Stock Index Inv,mf
ARTMX,Artisan Mid Cap Investor,mf
CDVZX,Columbia Diversified Equity Income Z,mf
NGARX,Nuveen Tradewinds Global All-Cap R3,mf
BIAHX,Brown Advisory WMC Strat Eurp Eq Inv,mf
CZOCX,Zacks All-Cap Core C,mf
PRGFX,T. Rowe Price Growth Stock,mf
PLBCX,PL Floating Rate Income C,mf
FQGIX,Fifth Third Quality Growth Instl,mf
VCTFX,Delaware Tax-Free CO A,mf
LTPDX,Principal LifeTime 2025 R5,mf
GOVCX,Pioneer Government Income C,mf
BIAQX,Brown Advisory Somerset Emgerg Mkts Inv,mf
LRCYX,Pioneer Long/Short Opportunistic Crdt Y,mf
NCMAX,Columbia AMT-Free CA Interm Muni Bd Z,mf
NRFYX,Natixis AEW Real Estate Y,mf
ABRYX,Invesco Balanced-Risk Allc Y,mf
UMMGX,Columbia Bond Z,mf
SMDYX,Western Asset Short Duration Muni Inc I,mf
HWHAX,Hotchkis & Wiley High Yield A,mf
MGOYX,Munder Mid-Cap Core Growth Y,mf
FIRVX,Fidelity Income Replacement 2038,mf
USMCX,Natixis ASG Tactical US Market C,mf
TWGAX,American Century International Gr A,mf
NSCMX,Columbia AMT-Free SC Interm Muni Bd Z,mf
PIXPX,PIMCO Fundamental IndexPLUS AR P,mf
VWITX,Vanguard Interm-Term Tx-Ex Inv,mf
FZTEGX,rst Trust 2961 Insured municipa,mf
PDMYX,Putnam Absolute Return 700 Y,mf
FTVIX,Touchstone Small Company Value Y,mf
NEFZX,Loomis Sayles Strategic Income A,mf
VNYIX,Wilmington New York Municipal Bond Instl,mf
HCAYX,Hartford Capital Appreciation Y,mf
VCIGX,VALIC Company I Dividend Value,mf
JRLQX,JHancock Retire Living thru II 2045 1,mf
ACGQX,Invesco Growth and Income R5,mf
IGAAX,American Funds Intl Gr And Inc A,mf
BLPIX,ProFunds Bull Inv,mf
WMGYX,Ivy Mid Cap Growth Y,mf
TCWAX,Templeton China World A,mf
DGIRX,Dreyfus LifeTime Growth & Income R,mf
ISGAX,Voya Solution Balanced A,mf
PLTIX,PNC Multi Factor Small Cap Gr I,mf
FITHX,Fidelity Advisor Freedom 2035 I,mf
AAMRDX,ADVISORS DIS TR 556 DIVIDEND RU,mf
RINGX,American Funds Income Portfolio R6,mf
XDVFX,BLACKROCK DIVERSIFIED INCOME ST,mf
NHFIX,Northern High Yield Fixed Income,mf
OLVAX,JPMorgan Large Cap Value A,mf
CHUSX,Alger Global Growth A,mf
JEMDX,JPMorgan Emerging Markets Debt Sel,mf
PHIAX,PACE High Yield A,mf
PLWIX,Principal LifeTime 2020 Instl,mf
SSNBX,State Farm Small/Mid Cap Equity B,mf
BRUCX,Brookfield US Listed Real Estate C,mf
CPRAX,PL Real Estate 529 MT A,mf
WBIDX,WBI Absolute Return Dividend Gr No Load,mf
DIHYX,Transamerica Partners Instl Hi Yld Bd,mf
LITCX,Columbia AMT-Free Interm Muni Bd C,mf
HBAFX,Huntington Balanced Allocation A,mf
GBLIX,AllianzGI Retirement 2055 R6,mf
MNDIX,MFS New Discovery I,mf
HIOMX,HighMark International Opportunities M,mf
GSCTX,Goldman Sachs Sm Cap Val Insights C,mf
GMWMX,GMO US Growth M,mf
CRSAX,Credit Suisse Commodity Return Strat A,mf
ZLSCX,Ziegler Strategic Income Inv,mf
MFGKX,MFS Government Securities R5,mf
XBSEX,BlackRock New York  Municipal I,mf
SGIIX,First Eagle Global I,mf
