symbol,name,type
ETORX,Eaton Vance OR Municipal Income A,mf
GOTRX,JHancock3 US Core R1,mf
SADAX,Wells Fargo Advantage Ultra S/T Inc A,mf
DMLIX,DoubleLine Multi-Asset Growth I,mf
BIGCX,BlackRock US Government Bond Inv C,mf
JPHCX,JPMorgan Floating Rate Income C,mf
GEIVX,GE Instl US Large Cap Core Eq Inv,mf
ALTKX,AllianceBern Multi-Mgr Alt Strats K,mf
SPFBX,Prudential Jennison Select Growth B,mf
ACMVX,American Century Mid Cap Value Inv,mf
WMFBX,Wells Fargo Advantage Municipal Bond B,mf
NPGCX,Nomura Partners Global Alpha Equity C,mf
ETIHX,Eventide Healthcare & Life Sciences I,mf
FFFGX,Fidelity Freedom 2045,mf
SBSYX,Western Asset Short-Term Bond I,mf
XVTAX,Invesco Dynamic Credit Opportun,mf
MXCIX,Touchstone Small Cap Growth Instl,mf
LMFCX,QS Legg Mason Target Retirement 2015 C,mf
LCCIX,Leader Short Term Bond Instl,mf
ISRAX,Voya Solution 2045 A,mf
XJROX,Nuveen Floating Rate Income Opp,mf
PFGAX,PIMCO Long-Term US Government A,mf
XERHX,Wells Fargo Advantage Utilities,mf
VVPLX,Vulcan Value Partners,mf
HWGIX,Hotchkis & Wiley Global Value I,mf
XEVFX,Eaton Vance Senior Income Trust,mf
HHQAX,Hancock Horizon Quant Long/Short A,mf
DIHQX,Transamerica Partners Instl High Qual Bd,mf
RFITX,American Funds 2050 Trgt Date Retire R6,mf
FDNRCX,FIRST TRUST 2299 STRATEGIC INCO,mf
IPARX,Voya Global Perspectives Port A,mf
BGLIX,Brookfield Global Listed InfrastructureI,mf
JIFDX,Perkins International Value D,mf
ACLSX,American Century Long-Term Tax-Free I,mf
VKCFNX,California Investors Quality Ta,mf
BLPAX,American Funds Balanced Port A,mf
XSBIX,Western Asset Intermediate Muni,mf
HAVLX,Harbor Large Cap Value Instl,mf
WESIX,TETON Westwood Income I,mf
REBHX,State Farm Equity & Bond R3,mf
PGHCX,Virtus High Yield C,mf
PTSLX,PIMCO Intl Fdmtl IdxPLUS AR Strat D,mf
JCATX,JHVIT Capital Appreciation Value II,mf
EKEIX,Even Keel Explorer Managed Risk I,mf
JVMAX,JHancock Disciplined Value Mid Cap A,mf
OAMIX,Oppenheimer Moderate Inv A,mf
ANSDX,Ancora Special Opportunity D,mf
VKPDPX,VAN KAMPEN 899 PREFERRED OPPORT,mf
FGCIX,Federated Short-Interm Ttl Ret Bd Instl,mf
TMCTX,Touchstone Mid Cap Z,mf
PREIX,T. Rowe Price Equity Index 500,mf
EKSBX,Wells Fargo Advantage Divers Inc Bldr B,mf
PCRAX,PIMCO Commodity Real Ret Strat A,mf
UTRIX,USAA Total Return Strategy Institutional,mf
PINDX,Pioneer Disciplined Growth A,mf
FHYIX,Franklin High Yield Tax-Free Inc C,mf
BRTBX,BMO Target Retirement 2015 I,mf
PHIYX,PIMCO High Yield Instl,mf
AGOPX,Allianz Global Small-Cap Opport,mf
JIFTX,Perkins International Value T,mf
DPLTX,Dreyfus High Yld A,mf
EBMTX,MFS Massachusetts Investors Tr 529B,mf
GTATX,Goldman Sachs Hi Quality Floating Rt IR,mf
AFRFX,Invesco Floating Rate R6,mf
TSEIX,Turner Small Cap Equity Investor,mf
LZGOX,Lazard Global Fixed Income Open,mf
VKQYMX,Quality Municipals Income Trust,mf
IEOPX,Voya Large Cap Growth Portfolio A,mf
SBPYX,ClearBridge Small Cap Growth I,mf
AESAX,Voya Small Company A,mf
OUTRX,DWS S&P; 500 Plus R,mf
RMFCX,American Funds American Mutual R3,mf
WHOSX,Wasatch-Hoisington US Treasury,mf
MLLGX,MFS Lifetime Retirement Income R2,mf
PNRZX,Prudential Jennison Natural Resources Z,mf
USGLX,JHancock US Global Leaders Growth A,mf
VANTX,JPMorgan NY Tax Free Bond A,mf
IMANX,Iman K,mf
RMRAX,KKM ARMOR A,mf
ETNHX,Eventide Healthcare & Life Sciences N,mf
COGMX,Cognios Market Neutral Large Cap Inv,mf
JCWAX,JHancock2 Global Agribusiness A,mf
MAMAX,MFS Moderate Allocation A,mf
VKSLSX,VAN KAMPEN 1048 SMALL CAP STRAT,mf
ISESX,Voya Index Solution 2035 S,mf
EATRX,MFS Total Return 529A,mf
VSIAX,Vanguard Small Cap Value Index Admiral,mf
MDHIX,BlackRock High Income Inv A,mf
QLMLFX,,mf
PSCZX,Prudential Jennison Small Company Z,mf
IJMAX,VY JPMorgan Mid Cap Value A,mf
AFLMX,Anfield Universal Fixed Income A1,mf
HIAYX,Hartford High Yield HLS IA,mf
ENPIX,ProFunds UltraSector Oil & Gas Investor,mf
JRNCX,JPMorgan Diversified Real Return C,mf
VICEX,USA Mutuals Barrier Investor,mf
PRTIX,T. Rowe Price US Treasury Interm,mf
IBNAX,Ivy Balanced A,mf
CFICX,Calvert Income A,mf
DCVBX,Comstock Capital Value B,mf
ACFIX,Arbitrage Credit Opportunities I,mf
ONYCX,Oppenheimer Rochester AMT-Free NY MuniC,mf
CSIRX,Columbia Acorn International Select Y,mf
QLMETX,,mf
CMVPIX,"GUGGENHEIM DEFINED PTF, SRS 718",mf
NJPAX,HighMark Equity Income A,mf
AAMNDX,Advisors Dis Tr 682 NASDAQ Q-50,mf
QGMNX,AQR Global Macro N,mf
NINYX,Nuveen NY Municipal Bond 2 I,mf
XENYX,ggenheim Canadian Energy Income,mf
PRVBX,Permanent Portfolio Versatile Bond,mf
LCRAX,Lord Abbett Core Fixed Income A,mf
LMJIX,QS Legg Mason Target Retirement 2050 I,mf
CMSBX,Columbia Absolute Ret Multi-Strat B,mf
ACYYX,American Beacon High Yld Bd Y,mf
BCREX,BlackRock Real Estate Securities Inv C,mf
RPMGX,T. Rowe Price Mid-Cap Growth,mf
NSRIX,Northern Global Sustainability Index,mf
TALVX,Target Large Capitalization Value T,mf
FRUAX,Franklin Utilities Adv,mf
XEDIX,Stone Harbor Emerging Markets T,mf
SAVAX,Virtus Bond A,mf
VKMASX,Van Kampen 886 Closed-End Strat,mf
CMVPJX,GUGGENHEIM DEF 753 GUGGENHEIM I,mf
QGLDX,Gold Bullion Strategy Investor,mf
GGYSX,Nationwide High Yield Bond Instl Service,mf
RPFRX,Davis Real Estate A,mf
EMDZX,Prudential Emerging Mkts Dbt Lcl Ccy Z,mf
FZANX,Fidelity Advisor New Insights Z,mf
JHSTX,JHFunds2 Spectrum Income NAV,mf
SFSLX,Legg Mason Inv Counsel Fincl Svcs C,mf
WMICX,Wasatch Micro Cap,mf
NOSGX,Northern Small Cap Value,mf
ADTPPX,ADVISORS DIS TR 587 PREFERRED I,mf
HTIRX,Hartford Unconstrained Bond R3,mf
TRREX,T. Rowe Price Real Estate,mf
AFPIX,AmericaFirst Income Trends I,mf
SWHGX,Schwab MarketTrack Growth Investor,mf
RFNBX,American Funds Fundamental Invs R2,mf
NYVTX,Davis NY Venture A,mf
TFECX,Touchstone Focused Equity C,mf
EGLBX,Elfun International Equity,mf
CWGDX,Christopher Weil & Co Global Dividend,mf
SSHIX,Wells Fargo Advantage Short-Term Bd I,mf
PAMCX,T. Rowe Price Mid-Cap Growth Adv,mf
VKCAFX,California Investors' Quality T,mf
PRLAX,T. Rowe Price Latin America,mf
JLKAX,JHancock Retire Living through 2050 A,mf
QOPIX,Oppenheimer Flexible Strategies I,mf
FDTGX,Fidelity Advisor Consumer Staples T,mf
VKLNDX,Van Kampen 803 Closed-End Str S,mf
VSFIX,Federated Clover Small Value Instl,mf
AIDIX,American Century International Bd Instl,mf
WESCX,TETON Westwood SmallCap Equity AAA,mf
LMWFX,QS Legg Mason Target Retirement 2020 FI,mf
DPWRX,Dreyfus Worldwide Growth I,mf
MBEAX,AMG Chicago Equity Partners Bal Inv,mf
GGBFX,GuideStone Funds Global Bond Investor,mf
TVIMX,Transparent Value Large-Cap Market I,mf
FRGDIX,FIRST TRUST 2458 INTEREST RATE ,mf
FMFEX,Fidelity Advisor Materials I,mf
HICGX,Hennessy Cornerstone Growth Inst,mf
JASHX,JHVIT American Global Sm Cap Tr Ser III,mf
ONTBX,JPMorgan Treasury & Agency B,mf
LSGBX,Loomis Sayles Global Bond Instl,mf
UTLQX,Morgan Stanley Global Infrastructure Q,mf
CVGRX,Calamos Growth A,mf
SPVIX,JHancock Small Cap Equity I,mf
FSCAX,Nuveen Small Cap Value A,mf
FDFAX,Fidelity Select Consumer Staples Port,mf
NPSAX,Nuveen Preferred Securities A,mf
RBCTX,American Funds 2020 Trgt Date Retire R2,mf
FSLCX,Fidelity Small Cap Stock,mf
NMAEX,Nuveen Equity Market Neutral A,mf
LIQAX,BlackRock Lifepath Index 2020 Investor A,mf
REFBX,Morgan Stanley Real Estate B,mf
LIDCX,Lord Abbett Intl Dividend Inc C,mf
SWNTX,Schwab Tax-Free Bond,mf
FTAAX,Fidelity Advisor Asset Manager 30% A,mf
NEWRX,Newmark Risk-Managed Opportunistic,mf
MRIBX,MFS Research International B,mf
WECBX,Wells Fargo Advantage Endeavor Select B,mf
TEMTX,Franklin Mutual Shares C,mf
JAMRX,Janus Research T,mf
VPEIX,Vantagepoint Equity Income Investor,mf
NWGYX,Nationwide Ziegler Equity Inc A,mf
FRVFX,Franklin Small Cap Value C,mf
JCAMX,JPMorgan AZ Municipal Bond C,mf
HORMX,Wilshire Variable Insurance Tru,mf
NDMSX,Nationwide Inv Dest Mod Agrsv Svc,mf
QAGIX,Quaker Strategic Growth I,mf
FSMCX,Fifth Third Mid Cap Growth Inv A,mf
GATEX,Gateway A,mf
DMUSX,Delaware Tax-Free USA Intermediate A,mf
XJFRX,Nuveen Floating Rate Income Fun,mf
LALPX,Lord Abbett Large-Cap Value P,mf
CSSPX,Cohen & Steers Global Realty I,mf
CMUAX,Columbia Mid Cap Value A,mf
ACBPX,American Century Diversified Bond Instl,mf
PEPPX,Principal Large Cap Growth R4,mf
KUSMX,Deutsche Strategic Government Secs S,mf
SIHAX,Guggenheim High Yield A,mf
FAGSX,Nuveen Strategy Growth Allocation A,mf
ARIFX,Wilmington Intermediate-Term Bond Instl,mf
ACDYX,American Beacon Acdn Emkts Mgd Vol Y,mf
GAXCX,Goldman Sachs Equity Growth Strategy C,mf
CFLAX,Compass EMP US 500 Volatil Wtd A,mf
AIPTX,American Century VP Inflation P,mf
GFEFX,GMO Flexible Equities III,mf
LAMRX,Lord Abbett Calibrated Dividend Gr R3,mf
JEPZX,JPMorgan US Research Equity Plus R2,mf
FSPTX,Fidelity Select Technology Portfolio,mf
PRITX,T. Rowe Price International Stock Fd,mf
MINAX,Madison International Stock A,mf
QLMEIX,,mf
HDOIX,Hatteras Disciplined Opportunity Instl,mf
RYCZX,Rydex Inverse Dow 2x Strategy C,mf
DIPAX,Delaware Inflation Protected Bond A,mf
PGTQX,Prudential Global Total Return Q,mf
CCNAX,Compass EMP Cmdty Strats Enh Vltl Wtd A,mf
RYECX,Rydex Energy C,mf
ARTIX,Artisan International Investor,mf
PRGBX,Principal Large Cap Growth B,mf
FIBZX,Templeton International Bond Adv,mf
EVORX,Eaton Vance OR Municipal Income B,mf
NNIBX,Columbia AMT-Free NC Interm Muni Bd Z,mf
HYLBX,Invesco High Yield Secs B,mf
CLFLX,AdvisorOne Flexible Income N,mf
UMBIX,Columbia Value and Restructuring Z,mf
PEVSX,Direxion Evolution Market Leaders Inv,mf
XAGCX,Advent/Claymore Global Converti,mf
BVEFX,Becker Value Equity Retail,mf
ODINX,Oppenheimer Discovery R,mf
XIMTX,INVESCO VALUE MUNICIPAL TRUST,mf
IRGTX,VY Clarion Global Real Estate S,mf
VWNDX,Vanguard Windsor Inv,mf
XEADX,Wells Fargo Advantage Income Op,mf
SHKIX,Aftershock Strategies I,mf
OMGCX,JPMorgan Mid Cap Growth C,mf
FTNWCX,FIRST TRUST 2920 TARGET TRIAD J,mf
FXFAX,FX Strategy A,mf
RESCX,HSBC Opportunity I,mf
WECDX,Wells Fargo Advantage Endeavor Select Ad,mf
XJSDX,Nuveen Short Duration Credit Op,mf
FXICX,AllianzGI Fixed Income SHares C,mf
USBOX,Pear Tree Quality Ordinary,mf
VKNYTX,Van Kampen 1021 Cld-End Str Mas,mf
BLVIX,William Blair Large Cap Value I,mf
WIESX,Wasatch Emerging Markets Select Instl,mf
FTKRYX,First Trust 2399 New York Munic,mf
VNYYX,Invesco NY Tax Free Inc Y,mf
JAOSX,Janus Overseas T,mf
RLGIX,JHancock Select Growth I,mf
LSIIX,Loomis Sayles Investment Grade Bond Y,mf
SISIX,RidgeWorth Investment Grade T/E Bond A,mf
SGOBX,Guggenheim World Equity Income B,mf
MVCAX,MFS Mid Cap Value A,mf
PPATHX,UBS Pathfinders Trust Treasury ,mf
AEDAX,Invesco European Growth A,mf
CCCTX,American Funds 2020 Trgt Date Retire C,mf
BIAUX,Brown Advisory Sm-Cp Fundamental Val Inv,mf
MFTOX,Altegris Managed Futures Strategy O,mf
CLSAX,AdvisorOne Amerigo N,mf
VAPAX,Virtus Premium AlphaSector A,mf
PUDZX,Prudential Real Assets Z,mf
GRGRX,Goldman Sachs Growth and Income R,mf
FKRCX,Franklin Gold and Precious Metals A,mf
DIFIX,MFS Diversified Income I,mf
XMSFX,Morgan Stanley Emerging Markets,mf
RCPFX,"Royce Small-Cap Portfolio, a se",mf
TMMAX,SEI Tax-Managed Mgd Volatility A (SIMT),mf
LAHYX,Lord Abbett High Yield I,mf
WHYCX,Wells Fargo Advantage Hi Yld Muni Bd C,mf
FDRLWX,FIRST TRUST 2249 MULTI-SECTOR O,mf
JLGRX,JPMorgan Large Cap Growth R5,mf
FGCKX,Fidelity Growth Company K,mf
PHSDX,PIMCO High Yield Spectrum D,mf
PTSHX,PIMCO Short-Term Instl,mf
PQNAX,AllianzGI NFJ Mid-Cap Value A,mf
BHYAX,BlackRock High Yield Bond Inv A,mf
IVRSX,VY Clarion Real Estate S,mf
GHUAX,Good Harbor Tactical Core US A,mf
FIWTSX,FIRST TRUST 2629 WATER UTILITY ,mf
EBABX,Eaton Vance Build America Bonds A,mf
HLLVX,JPMorgan Short Duration Bond Select,mf
FPJAX,Fidelity Advisor Japan A,mf
EDIAX,Eaton Vance Global Dividend Income A,mf
DSTAX,Dreyfus Opportunistic Fixed Income A,mf
SNEMX,Bernstein Emerging Markets,mf
XPDIX,PIMCO Dynamic Income Fund,mf
RYDQX,Guggenheim Event Drv & Distrsd Strat C,mf
ETKYX,Eaton Vance KY Municipal Income A,mf
MYHCX,MainStay High Yield Corporate Bond C,mf
CWRAX,Compass EMP REC Enhanced Volatil Wtd A,mf
XOTCX,"Royce Micro-Cap Trust,  Inc.",mf
PMGRX,Principal Government & High Qual Bd R1,mf
JMSUX,JHVIT Mutual Shares I,mf
FLVAX,Franklin Large Cap Value A,mf
GCIAX,Goldman Sachs Intl Eq Insights A,mf
BHFIX,Brookfield High Yield I,mf
JAOHX,JHVIT American Global Growth III,mf
ERSTX,Eaton Vance Large-Cap Value R,mf
STHRX,Wells Fargo Advantage DJ Target 2030 A,mf
EQTKX,Shelton Core Value K,mf
JECZX,JPMorgan Emerging Mkts Lcl Ccy Dbt R2,mf
QUAKX,AllianceBern Small Cap Growth K,mf
FIGFX,Fidelity International Growth,mf
WRMIX,DWS Clean Technology Instl,mf
FLIEBX,FIRST TRUST 2596 CANADIAN ENERG,mf
HDVBX,Hartford International Capital Apprec B,mf
VKNFSX,VAN KAMPEN 946 COHEN & STEERS R,mf
AGDYX,AllianceBern High Income Advisor,mf
EIREX,Eaton Vance Real Estate I,mf
JIMSX,JHFunds2 Mid Cap Stock 1,mf
SPDAX,Deutsche LifeCompass 2015 A,mf
FABTRX,FIRST TRUST 2337:DIVIDEND & INC,mf
ELACX,Epiphany FFV Latin America C,mf
OIEAX,JPMorgan International Rsrch Enh Eq Sel,mf
MSGIX,BMO Small-Cap Growth I,mf
WFQSX,Wells Fargo Advantage DJ Target 2045 Inv,mf
DZNJX,Dreyfus New Jersey Municipal Bond Z,mf
MARYX,Loomis Sayles Multi-Asset Real Return Y,mf
FNCMX,Fidelity Nasdaq Composite Index,mf
SMCCX,Deutsche Mid Cap Growth C,mf
CPIWX,Columbia Corporate Income W,mf
VMNIX,Vanguard Market Neutral I,mf
CSAZX,Columbia Global Opportunities Z,mf
XJPCX,Nuveen Preferred Income Opportu,mf
EMBIX,Lazard Emerging Markets Equity Blnd Inst,mf
MRRRX,MFS Research Bond R2,mf
JBATX,JHancock Balanced R2,mf
HSDTX,Hartford Short Duration R5,mf
SSIIX,Sierra Strategic Income I,mf
WFOPX,Wells Fargo Advantage Opportunity C,mf
DEECX,Delaware Extended Duration Bond C,mf
COVAX,Columbia Small Cap Value Fund II A,mf
TYHYX,Pioneer High Yield Y,mf
DRELX,Dreyfus Emerging Leaders,mf
LCEYX,Invesco Diversified Dividend Y,mf
FIGAX,Nuveen Intermediate Government Bond A,mf
SVPMX,SEI VP Moderate Strategy Fund C,mf
PYSAX,Putnam Equity Spectrum A,mf
JRVOX,JHancock Retirement Choices at 2045 1,mf
XJEQX,"Aberdeen Japan Equity Fund, Inc",mf
HAHHX,Harbor Target Retirement 2050 Inv,mf
XKCMX,KKR Alternative Corporate Oppor,mf
FNSYX,Frontegra Netols Small Cap Value Y,mf
AGSCX,Alger Small Cap Growth C,mf
HGHAX,Hartford Healthcare A,mf
EKGAX,Wells Fargo Advantage Global Opps A,mf
NSIUX,Northern Short-Intermediate US Govt,mf
FKBAX,Franklin Total Return A,mf
EKJCX,Wells Fargo Advantage Prem Lg Co Gr C,mf
NGBIX,Allianz AGIC Global Instl,mf
LAOIX,Western Asset Macro Opportunities I,mf
OVEAX,Sterling Capital Mid Cap Value A,mf
PSBJX,Principal SmallCap Blend J,mf
WHIAX,Ivy High Income A,mf
LTTIX,MFS Lifetime 2025 I,mf
JAPNX,JHVIT Alpha Opportunities NAV,mf
AAMXDX,ADVISORS DIS TR 675 BALANCED PT,mf
ADTWMX,ADVISORS DIS TR 627 TACTICAL IN,mf
VKGTNX,VAN KAMPEN 1026 GREAT INTERNATI,mf
CWGFX,American Funds Capital World G/I F1,mf
CNPEX,American Funds New Perspective 529E,mf
NVXIX,Navigator Sentry Managed Volatility I,mf
TDFPX,TDAM 1- to 5-Year Corporate Bond,mf
RLCAX,Columbia Large Value Quantitative A,mf
RYVNX,Rydex Dyn Inverse NASDAQ-100 2X Strat H,mf
XJGVX,Nuveen Global Equity Income Fun,mf
OPMBX,Oppenheimer Main Street Mid Cap B,mf
THPGX,Thompson LargeCap,mf
PTRQX,Prudential Total Return Bond Q,mf
WCLCX,Westfield Capital Large Cap Growth Inv,mf
BOYAX,Boyar Value,mf
TDMTX,Templeton Developing Markets C,mf
AJVDX,AllianzGI NFJ Intl Small-Cap Value D,mf
ZFWGX,First Trust 529: Watchman Growt,mf
PWTEX,HighMark WI Tax-Exempt A,mf
WCGNX,William Blair Mid Cap Growth N,mf
MDHVX,MainStay Short Duration High Yield Inv,mf
GHUIX,Good Harbor Tactical Core US I,mf
YAFFX,AMG Yacktman Focused Service,mf
CNPBX,American Funds New Perspective 529B,mf
HTOTX,Huntington Technical Opportunities Trust,mf
ENRIX,Eaton Vance Global Natural Resources I,mf
UGSBX,American Funds US Government Sec B,mf
VKALFX,VAN KAMPEN 1054 ETF ALLOCATION ,mf
PAFGX,T. Rowe Price Global Allocation Advisor,mf
FRESX,Fidelity Real Estate Investment Port,mf
OLCCX,Oppenheimer Rochester Ltd Term CA MuniC,mf
MDIHX,MFS International Diversification R3,mf
MRGKX,MFS Core Equity R5,mf
AGGYX,Invesco Global Growth Y,mf
QCBMRX,,mf
FVHIX,Franklin High Income Adv,mf
ANYIX,American Century NY Tax-Free Inv,mf
VKSUIX,Insured Municipals Income Trust,mf
PGDCX,Principal Global Div Inc C,mf
VMGIX,Vanguard Mid-Cap Growth Index Inv,mf
OMMAX,Old Mutual Asset Allocation Mod Gr A,mf
NSECX,Nuveen Symphony International Equity C,mf
WDVAX,Waddell & Reed Dividend Opps A,mf
BENFX,Baron Energy and Resources Retail,mf
HWDCX,Hartford World Bond C,mf
FBIOX,Fidelity Select Biotechnology Portfolio,mf
PFIGX,Principal SAM Flexible Income R1,mf
BBPAX,Northern Institutional Bond A,mf
ATOIX,Alpine Ultra Shrt Tx Optimized Inc Instl,mf
TEPSX,ProFunds Technology UltraSector Svc,mf
VSCAX,Invesco SmallCapValue A,mf
PEOAX,PIMCO RealRetirement 2040 Adm,mf
RCCSX,Russell Commodity Strategies S,mf
RIMHX,City National Rochdale Div & Inc N,mf
USHYX,USAA High Income,mf
LISOX,Lazard International Strategic Eq Open,mf
PDMEX,Putnam Absolute Return 700 R6,mf
NEFFX,American Funds New Economy F2,mf
NBQAX,Nuveen International Growth A,mf
CAEZX,Columbia Acorn European Z,mf
TRRHX,T. Rowe Price Retirement 2025,mf
AYMIX,American Century High-Yield Muni Instl,mf
INBNX,Columbia Diversified Bond A,mf
TORCX,Tortoise MLP & Pipeline C,mf
VKDHEX,n Kampen 1100 Diversified healt,mf
JLHFX,JHancock Retire Living through 2035 R3,mf
WSHCX,American Funds Washington Mutual C,mf
SCAUX,Invesco Low Volatility Equity Yield A,mf
PEXMX,T. Rowe Price Extended Equity Market Idx,mf
PGDPX,Principal Global Div Inc P,mf
TZINX,Templeton Global Balanced Adv,mf
SVACX,Federated Strategic Value Dividend C,mf
REPIX,ProFunds Real Estate UltraSector Inv,mf
MWHIX,Metropolitan West High Yield Bond I,mf
AAMBAX,"Advisor's Disp Tr 376, Build Am",mf
ADTSLX,ADVISORS DIS TR 279 SENIOR VARI,mf
FSESX,Fidelity Select Energy Service Port,mf
XDUCX,Duff & Phelps Utility and Corpo,mf
HWDYX,Hartford World Bond Y,mf
DVFIX,Cohen & Steers Dividend Value I,mf
TCVYX,Touchstone Mid Cap Value Y,mf
BSCYX,BMO Small-Cap Core Y,mf
FIGKX,Federated US Govt 2-5 YR R,mf
BRASX,BlackRock Allocation Tgt Shares Ser Svc,mf
FZACX,Fidelity Advisor Diversified Stock Z,mf
NSCIX,Columbia AMT-Free SC Interm Muni Bd A,mf
PRULX,T. Rowe Price US Treasury Long-Term,mf
VKDFHX,VAN KAMPEN 1043 DIVERSIFIED HEA,mf
FNTVX,1492 Small Cap Value,mf
LCEFX,Invesco Diversified Dividend R6,mf
SONEX,S1 Fund I,mf
GCLCX,Goldman Sachs Lg Cap Gr Insights B,mf
RSGCX,Russell US Dynamic Equity C,mf
CSTMX,Capital Group Short-Term Municipal,mf
AHSAX,Alger Health Sciences A,mf
PTWCX,Prudential Jennison 20/20 Focus C,mf
PMFMX,Principal MidCap S&P; 400 Index R3,mf
IDXBX,Voya Index Solution 2020 I,mf
VSLAX,Invesco Senior Loan A,mf
FTABX,Fidelity Tax-Free Bond,mf
XNXEX,Nuveen Arizona Dividend Advanta,mf
NGWDX,AllianzGI US Managed Volatility D,mf
LEGAX,Columbia Large Cap Growth A,mf
FTCIVX,First Tr 780 Adv Discip Inc Tr ,mf
RYCIX,Rydex Consumer Products Inv,mf
RLTSX,RiverFront Global Growth Inv,mf
WEHIX,Weitz Hickory,mf
THYUX,Consulting Group High Yld Investments,mf
NOITX,Northern Intermediate Tax-Exempt,mf
STCAX,RidgeWorth Large Cap Growth Stock I,mf
QGRBX,Oppenheimer Global Allocation B,mf
VINEX,Vanguard International Explorer Inv,mf
VISGX,Vanguard Small Cap Growth Index Inv,mf
NCOCX,Northern Institutional Core Bond C,mf
VIGSX,Vanguard Growth Index Signal,mf
IGUMX,ING GET U.S. Core Portfolio Ser,mf
RIMGX,Rochdale Large Growth,mf
MGRBX,MFS International Growth B,mf
JHACX,JHancock Global Absolute Ret Strats C,mf
CMUFX,Columbia Mid Cap Value K,mf
DSTYX,Dreyfus Opportunistic Fixed Income Y,mf
JSIMX,JPMorgan Multi-Sector Income R6,mf
IRSNX,Voya Retirement Solution 2035 I,mf
LSRCX,Lord Abbett Small Cap Value C,mf
CLSYX,Columbia Global Dividend Opportunity Y,mf
SERCX,Deutsche World Dividend C,mf
VWILX,Vanguard International Growth Adm,mf
HFXIX,Catalyst Hedged Futures Strategy I,mf
JRSSX,INTECH U.S. Value S,mf
PXRIX,Virtus Intl Real Estate Securities I,mf
FTOIX,Franklin OH Tax-Free Inc A,mf
PDVYX,Putnam Diversified Income Y,mf
MRLRX,BlackRock Large Cap Core R,mf
ARWDX,American Century One Choice 2025 R6,mf
IBVYX,Invesco Intl Core Equity Y,mf
DHYAX,Dreyfus High Yield Municipal Bond A,mf
VNVYX,Natixis Vaughan Nelson Value Opp Y,mf
ABSYX,American Beacon Small Cp Val Y,mf
VSGIX,Vanguard Small Cap Growth Index I,mf
PBIPX,Principal Bond Market Index R4,mf
CAGEX,Calamos Global Equity A,mf
WFPCX,Wells Fargo Advantage Spec Md Cp Val C,mf
RWICX,American Funds Capital World G/I R3,mf
QUASX,AllianceBern Small Cap Growth A,mf
WFGWX,Wells Fargo Advantage Growth Balanced C,mf
AAMCFX,ADVISORS DIS TR 638 COVERED CAL,mf
CPOCX,Morgan Stanley Multi Cap Growth L,mf
GMVUX,GMO US Intrinsic Value III,mf
UNASX,Waddell & Reed Asset Strategy A,mf
XNUMX,Nuveen Michigan Quality Income ,mf
PRRAX,Principal Real Estate Securities A,mf
SMPCX,Morgan Stanley Special Growth C,mf
RBFTX,American Funds 2035 Trgt Date Retire R2,mf
QMCCX,Quaker Mid-Cap Value C,mf
XDMOX,Western Asset Mortgage Defined ,mf
XJLAX,Nuveen Equity Premium Advantage,mf
MSSMX,Morgan Stanley Inst Small Co Gr A,mf
XBKNX,BlackRock Investment Quality Mu,mf
FTVAX,Touchstone Small Company Value A,mf
BQLCX,Bright Rock Quality Large Cap Instl,mf
XNZWX,NUVEEN MICHIGAN DIVIDEND ADVANT,mf
RIFYX,RS Technology Y,mf
TWEBX,"Tweedy, Browne Value",mf
CTRIX,Calamos Total Return Bond I,mf
ATFYX,Invesco Tax-Free Intermediate Y,mf
SWKRX,Schwab Monthly Income Enh Payout,mf
VWNAX,Vanguard Windsor II Admiral,mf
LCTIX,Leader Total Return Instl,mf
NNGAX,Nuveen Large-Cap Value A,mf
NPQAX,Nomura Partners International Equity A,mf
HUSEX,Huber Capital Small Cap Value Instl,mf
MFBFX,MFS Bond A,mf
XEMJX,Eaton Vance New Jersey Municipa,mf
FTGAX,Franklin GA Tax-Free Income A,mf
FMYIX,Federated Municipal High Yield Adv Instl,mf
ASQAX,American Century Small Company A,mf
NGAMX,Columbia AMT-Free GA Interm Muni Bd Z,mf
CMTAX,Columbia Masters International Eq A,mf
PJDZX,Prudential Jennison Rising Dividend Z,mf
ARTJX,Artisan International Small Cap Investor,mf
JLIAX,JHancock Retire Living through 2040 A,mf
DFTPX,DFA US Targeted Value R2,mf
BPGBX,UBS Global Bond Y,mf
HXBZX,Virtus Tax-Exempt Bond A,mf
ITQLX,Transamerica WMC Diversified Gr C,mf
FCBFX,Fidelity Corporate Bond,mf
UBVLX,Undiscovered Mgrs Behavioral Value Inst,mf
CCCIX,Columbia Contrarian Core I,mf
OLVBX,JPMorgan Large Cap Value B,mf
ABRZX,Invesco Balanced-Risk Allc A,mf
MFMTX,BlackRock Strategic Muni Opps Inv C,mf
XMYMX,BlackRock MuniYield Michigan Qu,mf
JGMCX,Janus Triton C,mf
XIMSX,INVESCO VALUE MUNICIPAL SECURIT,mf
VKCMPX,VAN KAMPEN 1065 CLOSED-END STRA,mf
JAHHX,JHVIT American Asst Hi-Inc Bd Tr Ser III,mf
NCMTX,Niemann Tactical Return A,mf
SEMPX,Semper MBS Total Return Investor,mf
RGHVX,RiverPark/Gargoyle Hedged Value Retail,mf
LSANX,Loomis Sayles Mid Cap Growth N,mf
DCSBX,Davis Appreciation & Income B,mf
